scenario,scheduler,run_idx,total_throughput_bps,avg_delay_sec,fairness,congestion_avg_throughput_bps,normal_avg_throughput_bps,empty_avg_throughput_bps,mean_active_users_per_slot,mean_requested_rb_per_slot,mean_allocated_rb_per_slot,mean_unserved_users_per_slot
balanced,RR,0,5463132.347649378,6.0312294865783995,0.9317050527568146,93513.28404913555,119690.0,59953.33333333333,59.766666666666666,439.72,12.0,47.766666666666666
balanced,RR,1,5452229.941143397,5.9939550640991355,0.9327814243244312,93033.94900443329,119377.54805273653,60200.0,59.75333333333333,437.12666666666667,12.0,47.75333333333333
balanced,RR,2,5528990.7366025895,5.66030935951385,0.9323050096895917,97592.87016346278,119213.33333333333,59643.333333333336,59.79666666666667,432.80333333333334,12.0,47.79666666666667
balanced,RR,3,5518205.4180754125,5.823321476935681,0.9296691615585159,95536.9375704373,120646.66666666666,59726.666666666664,59.79,437.4433333333333,12.0,47.79
balanced,RR,4,5498227.781324346,5.897610818044247,0.9345723340597182,95250.14656494038,119171.24250127685,60490.000000000015,59.82666666666667,440.5366666666667,12.0,47.82666666666667
balanced,RR,5,5490259.551852567,5.913931963330147,0.9320539698189576,95109.64425929505,119580.0,59823.333333333336,59.776666666666664,439.18,12.0,47.776666666666664
balanced,RR,6,5486844.972009497,5.9139050770645145,0.9311850445670633,94075.34836325186,120283.56690388969,59983.333333333336,59.78666666666667,439.4866666666667,12.0,47.78666666666667
balanced,RR,7,5457128.530918308,5.8873622291460235,0.9305012393870092,95036.42654591531,118843.33333333333,58976.66666666667,59.78,439.18666666666667,11.996666666666666,47.78333333333333
balanced,RR,8,5454294.072931271,6.054258647237635,0.9316272727650805,93951.37031323025,119159.99999999997,59603.33333333333,59.79333333333334,439.8333333333333,12.0,47.79333333333334
balanced,RR,9,5496262.950667549,5.889823608148686,0.9361629753632915,96229.81420004413,118133.33333333333,60450.0,59.78333333333333,439.75666666666666,12.0,47.78333333333333
balanced,RR,10,5489166.200145139,5.999740465691264,0.930673368278314,94364.9766739236,120253.33333333333,59840.0,59.766666666666666,439.6666666666667,12.0,47.766666666666666
balanced,RR,11,5492814.13730999,5.776515240988439,0.9336462414595622,95750.39912531665,118920.30774018285,59970.0,59.79,434.86333333333334,12.0,47.79
balanced,RR,12,5490723.89889756,5.769712147079702,0.932536218285286,95796.19494487802,119056.66666666667,59683.333333333336,59.74666666666667,435.93666666666667,11.996666666666666,47.75
balanced,RR,13,5510402.548860666,5.737587200516183,0.9326540209423992,96190.12744303333,119383.3333333333,59946.666666666664,59.803333333333335,437.06,11.993333333333334,47.81
balanced,RR,14,5486313.498328384,5.871407930283115,0.9317902018500166,95542.34158308589,119263.33333333333,59510.0,59.77,435.82,12.0,47.77
balanced,RR,15,5496051.05402912,5.815129466034828,0.9289441569533139,94939.21936812272,120653.33333333333,59210.0,59.78333333333333,439.59,12.0,47.78333333333333
balanced,RR,16,5450960.917028606,5.937697657356538,0.9302002556164803,94001.3791847636,119390.0,59156.666666666664,59.79,437.39,12.0,47.79
balanced,RR,17,5473952.986868563,6.048885354068153,0.9313133402882142,94207.64934342822,119716.66666666667,59773.333333333336,59.74666666666667,442.37666666666667,11.996666666666666,47.75
balanced,RR,18,5524430.60457175,5.86089365620913,0.9314817056245822,95971.53022858752,120226.66666666666,60023.333333333336,59.81333333333333,439.36,11.996666666666666,47.81666666666667
balanced,RR,19,5490583.353028421,5.74985917613244,0.9337755771054712,96365.83431808776,118386.66666666667,59776.666666666664,59.81,436.2866666666667,12.0,47.81
balanced,RR,20,5442388.082183462,6.097729522932549,0.9327603638246141,93887.61824790642,118581.78586126666,59650.0,59.77,440.8566666666667,12.0,47.77
